Number,Catch_length,Catch_weight,Catch_date,Catch_location,Recaptures,Recapture_weight,Catch_method,Recapture_location,specificity grade,Recapture_lon,Recapture_lat,Recapture_date,Recapture_length,Recapture_method,Tag,Remark,Catch_lon,Catch_lat
100,26,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
102,17.5,NA,30/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
103,15.5,NA,17/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
104,13.6,NA,26/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
106,32.5,NA,26/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
107,16.5,NA,4/10/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
108,18.5,NA,20/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
109,16.2,NA,19/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
110,15.5,NA,29/03/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
111,33.5,NA,20/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
112,35,NA,23/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
113,19,NA,16/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
114,16,NA,26/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
115,17.5,NA,19/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
116,21,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
118,16.9,NA,30/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
119,16.6,NA,19/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
120,14,NA,29/03/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
121,14.5,NA,29/03/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
122,17.1,NA,26/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
123,18.4,NA,19/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
124,18,NA,20/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
125,36,NA,16/10/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
126,14,NA,29/03/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
127,16.7,NA,26/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
128,18.6,NA,30/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
129,20.3,NA,30/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
130,18.3,NA,1/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
131,14.2,NA,17/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
132,16,NA,6/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
133,18.3,NA,14/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
134,15.9,NA,11/07/2008,Knokke_Zwingeul,terug te Duinbergen(B) op 08/10/2008,NA,line_fishing,Duinbergen,2,3.26,51.35,8/10/2008,NA,NA,,,3.37,51.37
135,18.5,NA,6/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
136,21.6,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
137,16.2,NA,19/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
138,27,NA,2/10/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
139,19.5,NA,14/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
140,13.5,NA,14/07/2007,Knokke_Zwingeul,Terug te Zeebrugge(B) op 03/10/2008,NA,line_fishing,Zeebrugge,2,3.2,51.35,3/10/2008,NA,NA,,,3.37,51.37
141,18,NA,1/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
142,31.5,NA,20/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
143,19.2,NA,19/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
144,15,NA,14/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
145,21.2,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
146,19.7,NA,19/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
147,17.4,NA,21/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
148,18.7,NA,26/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
149,29.5,NA,17/08/2007,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
150,49,NA,2/10/2007,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
151,20.2,NA,21/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
152,15.8,NA,26/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
153,15.7,NA,14/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
154,20,NA,30/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
155,18.2,NA,14/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
156,17.5,NA,16/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
157,16.2,NA,6/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
159,36,NA,26/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
160,15.7,NA,29/03/2008,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
161,29,NA,2/10/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
162,17.2,NA,16/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
163,16.2,NA,3/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
164,25.5,NA,20/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
165,17.5,NA,16/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
167,17.5,NA,19/08/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
168,15.7,NA,16/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
169,19.2,NA,16/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
170,19.8,NA,9/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
171,15,NA,3/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
172,17.8,NA,1/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
173,17.5,NA,14/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
174,13.8,NA,3/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
175,16.5,NA,30/05/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
176,16.7,NA,16/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
177,15.2,NA,3/07/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
178,30,NA,20/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
179,33,NA,23/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
180,19.6,NA,9/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
181,17.2,NA,9/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
182,17.3,NA,14/06/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
183,24.5,NA,11/07/2008,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
184,18.3,NA,1/09/2007,Knokke_Zwingeul,,,line_fishing,,,,,,,,,,3.37,51.37
